index,MES ANO, Ativo total, Ativo Circulante, Ativo nao circulante, Realizavel LP, Inv em subsid e outros, Imobilizado, Passivo e patrimonio liq, Passivo Circulante, Dividendos a Pagar CP, Passivo nao circulante, Patrim liq consolidado, Patrimonio liquido, Capital social,Close
2005-09-30,2005-09,1378913,137448,1241465,12324,1227389,1752,1378913,9303,7764,14058,1355552,1355552,1000000,1.1094670295715332
2005-12-31,2005-12,1497784,138298,1359486,92252,1265516,1718,1497784,89315,87539,37006,1371463,1371463,1000000,1.1575440168380737
2006-03-31,2006-03,1532448,59511,1472937,97530,1373725,1682,1532448,10288,8406,41745,1480415,1480415,1000000,1.2056210041046143
2006-06-30,2006-06,1558863,187794,1371069,16599,1352825,1645,1558863,100867,99909,43657,1414339,1414339,907000,1.1834310293197632
2006-09-30,2006-09,1561822,70807,1491015,21251,1468157,1607,1561822,18471,16594,14899,1528452,1528452,907000,1.4285706111363001
2006-12-31,2006-12,1694410,179776,1514634,16780,1496281,1573,1694410,125603,124756,16083,1552724,1552724,907000,1.6737101929528373
2007-03-31,2007-03,1705847,70015,1635832,19224,1615071,1537,1705847,9875,8538,22985,1672987,1672987,907000,1.9188497747693742
2007-06-30,2007-06,1861983,207172,1654811,21245,1632065,1501,1861983,139531,137102,28220,1694232,1694232,1360500,2.1639893565859114
2007-09-30,2007-09,1885647,75773,1809874,25358,1783051,1465,1885647,12144,8012,30098,1843405,1843405,1360500,2.409128938402448
2007-12-31,2007-12,2026305,260483,1765822,20370,1744023,1429,2026305,161377,150419,35754,1829174,1829174,1360500,2.6542685202189853
2008-03-31,2008-03,1988576,111856,1876720,32450,1842877,1393,1988576,30011,25089,31091,1927474,1927474,1360500,2.8994081020355225
2008-06-30,2008-06,2139616,258785,1880831,38213,1841261,1357,2139616,156642,150243,35253,1947721,1947721,1360500,2.9778099060058594
2008-09-30,2008-09,2182125,119572,2062553,43330,2017902,1321,2182125,35369,25858,24473,2122283,2122283,1360500,2.099112033843994
2008-12-31,2008-12,2347539,241482,2106057,44631,2060141,1285,2347539,146083,138038,22876,2178580,2178580,1360500,1.9134610295295715
2009-03-31,2009-03,2308597,127722,2180875,47174,2132451,1250,2308597,37880,29671,21927,2248790,2248790,1360500,1.727810025215149
2009-06-30,2009-06,2366484,221428,2145056,46590,2097253,1213,2366484,129867,125677,20455,2216162,2216162,1800000,2.0414199829101562
2009-09-30,2009-09,2374333,127187,2247146,49736,2196232,1178,2374333,35049,26480,24580,2314704,2314704,1800000,2.4970409870147705
2009-12-31,2009-12,2534234,352518,2181716,23630,2156944,1142,2534234,168488,163118,2959,2362787,2362787,1812294,2.6538455486297607
2010-03-31,2010-03,3300357,199431,3100926,41752,3046685,12489,3300357,36508,28543,5128,3258721,3258721,1812294,2.810650110244751
2010-06-30,2010-06,3396598,379425,3017173,25696,2979024,12453,3396598,69000,59900,5134,3322464,3322464,1812294,2.47041392326355
2010-09-30,2010-09,3403021,309420,3093601,1705,3079479,12417,3403021,39435,31034,6143,3357443,3357443,1812294,2.7366859912872314
2010-12-31,2010-12,3535994,752552,2783442,923,2770286,12233,3535994,71158,62214,10229,3454607,3454607,1812294,2.917899012565613
2011-03-31,2011-03,3483956,736518,2747438,1448,2733816,12159,3483956,43328,38180,5620,3435008,3435008,1812294,3.099112033843994
2011-06-30,2011-06,3608301,553442,3054859,227148,2815614,12087,3608301,84521,78782,10673,3513107,3513107,2265367,2.633136034011841
2011-09-30,2011-09,3671608,546062,3125546,235169,2878347,12021,3671608,54536,47897,5721,3611351,3611351,2265367,2.7662720680236816
2011-12-31,2011-12,3816355,584445,3231910,241192,2978752,11956,3816355,8753,2182,7490,3800112,3800112,2265367,2.919748306274414
2012-03-31,2012-03,3738538,578195,3160343,247500,2900942,11891,3738538,53127,42522,6842,3678569,3678569,2265367,3.0732245445251465
2012-06-30,2012-06,3929634,873728,3055906,753,3043318,11825,3929634,93782,82856,6369,3829483,3829483,2718440,3.226700782775879
2012-09-30,2012-09,3977041,849570,3127471,1141,3114560,11760,3977041,53685,42545,5385,3917971,3917971,2718440,3.3801770210266113
2012-12-31,2012-12,4154315,889397,3264918,864,3259097,4947,4154315,90072,79070,3894,4060349,4060349,2718440,3.5336532592773438
2013-03-31,2013-03,4084265,864096,3220169,1370,3213871,4918,4084265,46081,36431,3629,4034555,4034555,2718440,3.687129497528076
2013-06-30,2013-06,4348404,941836,3406568,1147,3400522,4889,4348404,99519,88615,8318,4240567,4240567,2718440,3.8406057357788086
2013-09-30,2013-09,4386216,897916,3488300,2666,3480765,4859,4386216,53974,42572,4530,4327712,4327712,2718440,3.994081974029541
2013-12-31,2013-12,4668281,943803,3724478,5498,3714150,4830,4668281,99987,87305,10522,4557772,4557772,2718440,4.341715574264526
2014-03-31,2014-03,4561172,931266,3629906,4750,3620355,4801,4561172,58976,46824,10632,4491564,4491564,2718440,4.689349174499512
2014-06-30,2014-06,4751174,1007950,3743224,5996,3732456,4772,4751174,108070,94960,11231,4631873,4631873,3533973,5.4403839111328125
2014-09-30,2014-09,4862636,967571,3895065,3862,3886460,4743,4862636,65025,51660,3891,4793720,4793720,3533973,5.494229793548584
2014-12-31,2014-12,5180037,1023924,4156113,3987,4147413,4713,5180037,118793,104174,4859,5056385,5056385,3533973,5.80480694770813
2015-03-31,2015-03,5382730,1014846,4367884,8352,4354848,4684,5382730,75881,60333,4188,5302661,5302661,3533973,6.115384101867676
2015-06-30,2015-06,5578140,1102092,4476048,8530,4462863,4655,5578140,145709,127091,4240,5428191,5428191,3533973,7.311538219451904
2015-09-30,2015-09,5963787,1072345,4891442,8718,4878098,4626,5963787,97877,77771,4362,5861548,5861548,3533973,5.942306995391846
2015-12-31,2015-12,6215117,1155109,5060008,9031,5046381,4596,6215117,181217,158209,4520,6029380,6029380,3533973,5.673076391220093
2016-03-31,2016-03,5988588,1113538,4875050,8970,4861513,4567,5988588,100379,79502,4622,5883587,5883587,3533973,5.40384578704834
2016-06-30,2016-06,5897211,1221140,4676071,5025,4666508,4538,5897211,196059,170765,4680,5696472,5696472,3533973,5.2846150398254395
2016-09-30,2016-09,5961595,1209927,4751668,5045,4742114,4509,5961595,104935,83373,4690,5851970,5851970,3533973,6.792306900024414
2016-12-31,2016-12,6188994,1307732,4881262,5173,4871610,4479,6188994,221379,191022,4741,5962874,5962874,3533973,6.74230694770813
2017-03-31,2017-03,6119743,1244146,4875597,5463,4865676,4458,6119743,118433,93480,5091,5996219,5996219,3533973,6.692306995391846
2017-06-30,2017-06,6605232,1325441,5279791,6504,5268851,4436,6605232,251943,175471,5243,6348046,6348046,3533973,6.807692050933838
2017-09-30,2017-09,6511527,1304381,5207146,6666,5196066,4414,6511527,105463,82411,5358,6400706,6400706,3533973,7.397392908732097
2017-12-31,2017-12,6896102,1369011,5527091,6614,5516084,4393,6896102,170446,160729,4730,6720926,6720926,3533973,7.9870937665303545
2018-03-31,2018-03,6937885,1240125,5697760,6788,5686601,4371,6937885,96849,75190,4730,6836306,6836306,3533973,8.576794624328613
2018-06-30,2018-06,7576383,1318257,6258126,7263,6246514,4349,7576383,166087,144819,4730,7405566,7405566,5504517,9.166495482126871
2018-09-30,2018-09,7726320,1257082,6469238,7455,6457456,4327,7726320,94136,73143,4730,7627454,7627454,5504517,9.756196339925129
2018-12-31,2018-12,7896734,1347044,6549690,7994,6537391,4305,7896734,177730,165016,4730,7714274,7714274,5504517,10.345897197723389
2019-03-31,2019-03,7894659,1218405,6676254,8280,6663690,4284,7894659,112157,86416,4730,7777772,7777772,5504517,10.935598055521647
2019-06-30,2019-06,8209353,1310142,6899211,8744,6886205,4262,8209353,186723,162448,4730,8017900,8017900,5504517,11.525298913319904
2019-09-30,2019-09,8431958,1220934,7211024,9137,7197646,4241,8431958,99244,76520,4730,8327984,8327984,5504517,12.114999771118164
2019-12-31,2019-12,8876294,1029025,7847269,9523,7833527,4219,8876294,154317,144611,4730,8717247,8717247,5504517,14.449999809265137
2020-03-31,2020-03,9724862,1125994,8598868,8388,8586283,4197,9724862,78022,59862,4730,9642110,9642110,5504517,16.78499984741211
2020-06-30,2020-06,10610075,1250220,9359855,9165,9346515,4175,10610075,243037,213782,4730,10362308,10362308,5504517,25.30500030517578
2020-09-30,2020-09,11213109,957161,10255948,9489,10242306,4153,11213109,85909,65611,4730,11122470,11122470,5504517,32.849998474121094
2020-12-31,2020-12,11713015,1254922,10458093,10184,10443777,4132,11713015,145120,134987,4730,11563165,11563165,5504517,35.064998626708984
2021-03-31,2021-03,12067696,1217789,10849907,8414,10837373,4110,12067696,86671,66339,4730,11976295,11976295,5504517,37.279998779296875
2021-06-30,2021-06,12429875,1553459,10876416,9221,10863097,4088,12429875,458315,434888,4730,11966830,11966830,5504517,33.689998626708984
2021-09-30,2021-09,12859023,1231054,11627969,9710,11614182,4067,12859023,103888,80053,4730,12750405,12750405,5504517,39.630001068115234
2021-12-31,2021-12,13820203,1336318,12483885,10456,12469374,4045,13820203,210502,194780,4730,13604971,13604971,5504517,37.25
2022-03-31,2022-03,12605691,1087551,11518140,9335,11504772,4023,12605691,183384,139112,4730,12417577,12417577,5504517,34.869998931884766
2022-06-30,2022-06,13870269,1326805,12543464,10467,12528985,4002,13870269,451595,401429,4730,13413944,13413944,6504517,26.450000762939453
2022-09-30,2022-09,14115374,1166398,12948976,10685,12934301,3980,14115374,216193,165771,4730,13894451,13894451,6504517,32.13999938964844
2022-12-31,2022-12,15228161,1360284,13867877,11728,13852181,3958,15228161,388636,360331,4730,14834795,14834795,6504517,36.34499931335449
2023-03-31,2023-03,15133303,1166040,13967263,10615,13952701,3937,15133303,261120,199852,4730,14867453,14867453,6504517,40.54999923706055
2023-06-30,2023-06,16033288,1849475,14183813,11269,14168619,3915,16033288,643531,576189,4730,15385027,15385027,6504517,37.75
